Name,,V,T,M,n,np,B,G,E,v,H,B',G',ρ,vL,vS,va,Θe,γel,γes,γe,A,κ,κref.,Formula,space group,k_BTE_DFT,k_BTE_DFT（1000 K）,k_AFLOW_AAPL,k_AFLOW_AGL,k_AFLOW_AGL (Poisson ratio σ=0.25),k_Mingo,k_EXP,k_EXP（1000 K）
7482_RbHgF3, Pm-3m ,4.62528607921193,300,343.052,5,5,57.4446,18.7115,50.6365333044,0.3530858911,2.9871636804,-2.06489,-0.24968,5.756953283,3.7831146951,1.8028431718,2.0278045201,130.5261174218,1.2731474696,0.4935111919,0.8382543513,7.89E-07,0.7923048114,0.43,RbHgF3,Pm-3m,,0.43,,,,,,
10175_KCdF3, Pm-3m ,4.47125713064562,300,208.503,5,5,60.9608,24.6721,65.2179479757,0.321694302,4.5273332234,-2.89818,-0.43308,3.8732177993,4.9226302997,2.5238706823,2.8269848091,188.2364664065,1.4884357364,0.6178839229,0.9964941922,1.19E-06,1.4962150238,0.75,KCdF3,Pm-3m,,0.75,,,,,,
14099_AgZnF3, Pm-3m ,4.07001724522673,300,230.252,5,5,87.3594,29.6287,79.8579296308,0.3476448449,4.0978241819,-4.64088,-1.038,5.6710465375,4.7297497749,2.2857287596,2.5690616292,187.9265780875,1.4342458945,1.0143159617,1.1711440313,1.76E-06,1.5964631114,0.8,AgZnF3,Pm-3m,,0.8,,,,,,
1016821_BaSiO3, Pm-3m ,3.83698874167366,300,213.412,5,5,178.613,124.522,303.1239456509,0.2171501648,22.0520309385,-10.9845,-7.99104,6.273296425,7.4120169933,4.4552813938,4.9277502852,382.3561671098,1.60676541,1.6459200634,1.6329728302,3.91E-06,13.4200584864,0.87,BaSiO3,Pm-3m,,0.87,,,,,,
4950_KCaF3, Pm-3m ,4.47142385661828,300,136.17,5,5,53.9291,28.1987,72.0399114121,0.2773622793,6.606157623,-0.000946554,-0.56445,2.5292541241,6.0156041507,3.3390145397,3.7191032384,247.62946939,0.2013492852,0.7280878788,0.6057407182,3.62E-07,1.8230578595,1.06,KCaF3,Pm-3m,,1.06,,,,,,
22535_PbHfO3, Pm-3m ,4.14819198350628,300,433.69,5,5,171.413,89.5169,228.7335716592,0.2775999373,12.9655855785,-8.5108,-3.01734,10.0890764486,5.368441753,2.9787003098,3.317870034,238.1279947036,1.3717910435,1.036333712,1.1589917734,1.72E-06,6.2094377295,1.12,PbHfO3,Pm-3m,,1.12,,,,,,
977408_TlNbO3, Pm-3m ,4.06921217800264,300,345.29,5,5,180.733,99.1291,251.4206015185,0.2681473024,14.5756929784,-8.62283,-2.6591,8.5094510105,6.0639494572,3.4131062684,3.7973749011,277.8325164971,1.1434745584,0.7370546321,0.8933146379,9.19E-07,6.9405900253,1.75,TlNbO3,Pm-3m,,1.75,,,,,,
12725_AgNbO3, Pm-3m ,3.99039361447476,300,248.778,5,5,194.516,81.7014,215.0021716692,0.3157802172,9.5260976518,-10.562,-3.04992,6.5014961504,6.8318413848,3.5449335145,3.9676245333,296.0225277397,1.3648789367,1.0193100534,1.146135606,1.67E-06,6.5531022291,1.79,AgNbO3,Pm-3m,,1.79,,,,,,
4551_SrHfO3, Pm-3m ,4.14120652209901,300,314.11,5,5,170.038,103.21,257.5255457474,0.247580398,16.8024615418,-7.67617,-3.24446,7.3442870526,6.4722394955,3.7487464503,4.1606435632,299.1186934886,1.2186520908,0.9496086419,1.046999851,1.35E-06,8.5441472971,2.2,SrHfO3,Pm-3m,,2.2,,,,,5.2,2.7
19845_PbTiO3, Pm-3m ,3.9649012536452,300,303.08,5,5,189.038,95.0097,244.1295984684,0.2847614426,12.8366079991,-10.3738,-4.75059,8.0743709889,6.253095284,3.4302804128,3.8242401493,287.1591860281,1.4825994078,1.3916177753,1.4225916572,2.81E-06,7.8947744152,2.42,PbTiO3,Pm-3m,,2.42,,,,,5,
861873_TlTaO3, Pm-3m ,4.06780254334508,300,433.328,5,5,212.906,109.491,280.4050975249,0.2804938192,14.3271326859,-12.6823,-3.53252,10.6901970364,5.7941568018,3.2003417427,3.5660149111,260.9956228613,1.4642849624,0.919148246,1.1304567583,1.62E-06,7.9310091173,2.86,TlTaO3,Pm-3m,,2.86,,,,,,
935811_KNbO3, Pm-3m ,4.03264944502121,300,180.008,5,5,174.046,116.094,284.9297229158,0.227150942,20.0999147883,-9.33171,-4.07238,4.5579435533,8.4938879557,5.0468502234,5.5882847957,412.5703302727,1.3052776479,0.9835507451,1.1012861987,1.52E-06,12.7669447565,2.94,KNbO3,Pm-3m,,2.94,,,,,10,
4170_NaTaO3, Pm-3m ,3.9761075721172,300,251.938,5,5,205.976,114.014,288.7624005399,0.2663462405,15.9891788525,-11.3097,-3.14818,6.6553032486,7.3342271066,4.1389975259,4.6039927736,344.7358429471,1.194788255,0.7011855041,0.8964450525,9.27E-07,9.4661121523,3.45,NaTaO3,Pm-3m,,3.45,,,,,,
1076534_RbTaO3, Pm-3m ,4.07363611249652,300,314.416,5,5,194.89,127.542,314.1058328419,0.2313819481,20.7681409126,-10.737,-4.70344,7.7233637691,6.8740242311,4.063716162,4.5018294753,329.0157900015,1.4085772397,1.0797954556,1.1994451901,1.86E-06,11.8216929426,3.61,RbTaO3,Pm-3m,,3.61,,,,,,
5893_CaSiO3, Pm-3m ,3.60575212117237,300,116.163,5,5,218.867,153.139,372.5315059365,0.2163182009,24.9945114922,-17.5966,-10.5548,4.1146108279,10.1398764899,6.1006838718,6.7470222813,557.0910858669,1.5880500154,1.4488885609,1.4967140648,3.17E-06,20.5044184676,4.89,CaSiO3,Pm-3m,,4.89,,,,,,
2136_Sb2O3, Pccn ,7.12332473181253,300,1166,20,20,13.5596,20.2994,40.6254316815,0.0006559721,18.6609679326,-0.40453,-0.28799,5.3567190557,2.7539100227,1.9466692377,2.1107946072,88.2212415754,3.3411004133,2.3973003841,2.7481539401,1.36E-05,1.7158518769,0.4,Sb2O3,Pccn,,,,8.74,3.45,,0.4,
22922_AgCl, Fm-3m ,3.53168508226764,300,143.321,2,2,42.8008,9.54988,26.6663409632,0.3961610493,1.2945762289,-4.21795,-0.74278,5.4027200577,3.2060710395,1.3295134177,1.5042430497,126.807802098,1.8989755795,1.5464155396,1.6722151271,4.14E-06,2.5457418997,1,AgCl,Fm-3m,,,0.67,0.613,2.58,,1,
5342_AgGaS2, I-42d ,5.62638484421614,300,483.446,8,8,62.8958,19.8709,53.932954814,0.3570838466,2.9854819461,-1.42128,0.21616,4.5072143855,4.4533945212,2.0996874915,2.3629669631,125.0368855958,0.9621494842,-1.1354264511,1.0807586967,1.45E-06,2.7535489214,1.4,AgGaS2,I-42d,,,,0.993,2.97,,1.4,
1883_SnTe, Fm-3m ,4.03326427190145,300,246.31,2,2,41.2661,30.211,72.8541154586,0.2057547823,10.1970709008,-2.06878,-1.28032,6.233910382,3.6168031384,2.2014167832,2.43183428,179.5094141179,1.3522962196,1.2235851489,1.2679414154,2.13E-06,12.6884651053,1.5,SnTe,Fm-3m,,,,5.24,4.46,,1.5,
20320_InTe, I4/mcm ,6.45699419569806,300,969.68,8,8,20.9932,12.1476,30.5502263745,0.2574593489,4.5444233277,-0.33592,-0.20054,5.9811652073,2.4935621092,1.4251229773,1.5835473515,73.0147480311,2.0169335986,2.0554748839,2.042708589,6.69E-06,1.6280941318,1.7,InTe,I4/mcm,,,,1.4,1.32,,1.7,
